Var1,Var2,r,se,p,n,Analysis,absZ
SclDepreC 14yr,AsqMotor 6mo,0.002,0.007,0,18920,FS,0.27
SdqProsoC 14yr,AsqMotor 6mo,-0.012,0.008,0,15569,FS,1.5
SdqProsoM 14yr,AsqMotor 6mo,-0.021,0.009,0,12689,FS,2.36
SmfqFullC 14yr,AsqMotor 6mo,0.002,0.008,0,15730,FS,0.25
SmfqFullM 14yr,AsqMotor 6mo,0.039,0.009,0,13354,FS,4.53
SpinFullC 14yr,AsqMotor 6mo,0.003,0.008,0,15334,FS,0.37
SppaSociaC 14yr,AsqMotor 6mo,-0.043,0.007,0,20718,FS,6.23
SwlsFullC 14yr,AsqMotor 6mo,-0.019,0.007,0,20699,FS,2.75
YptiFullC 14yr,AsqMotor 6mo,-0.029,0.007,0,20573,FS,4.14
AsqLangu 18mo,IcqFussi 6mo,0.046,0.004,0,72270,FS,12.43
AsqMotor 18mo,IcqFussi 6mo,0.053,0.004,0,72287,FS,14.32
CbclExter 18mo,IcqFussi 6mo,0.254,0.004,5.26e-140,72833,FS,72.57
CbclInter 18mo,IcqFussi 6mo,0.237,0.004,0,72661,FS,67.71
EasActiv 18mo,IcqFussi 6mo,-0.01,0.004,0,72482,FS,2.7
EasEmoti 18mo,IcqFussi 6mo,-0.286,0.003,0,72490,FS,84.12
EasShyne 18mo,IcqFussi 6mo,0.167,0.004,5.88e-68,72473,FS,46.39
EasSocia 18mo,IcqFussi 6mo,0.104,0.004,0,72475,FS,28.11
AsqLangu 3yr,IcqFussi 6mo,0.074,0.004,0,56132,FS,17.62
AsqMotor 3yr,IcqFussi 6mo,0.094,0.004,0,56062,FS,22.38
CbclExter 3yr,IcqFussi 6mo,0.229,0.004,1.97e-25,52238,FS,55.85
CbclInter 3yr,IcqFussi 6mo,0.231,0.004,2.64e-205,52112,FS,56.34
CfqPress 3yr,IcqFussi 6mo,0.117,0.004,0,55340,FS,27.86
CfqRestr 3yr,IcqFussi 6mo,0.11,0.004,7.69e-99,55323,FS,26.19
EasActiv 3yr,IcqFussi 6mo,-0.025,0.004,1.07e-38,52090,FS,5.68
EasEmoti 3yr,IcqFussi 6mo,-0.215,0.004,0,52097,FS,51.19
EasShyne 3yr,IcqFussi 6mo,0.154,0.004,6.87e-25,52082,FS,35.81
EasSocia 3yr,IcqFussi 6mo,0.082,0.004,4.17e-39,52085,FS,18.64
ItseaCompe 3yr,IcqFussi 6mo,-0.093,0.004,0,56401,FS,22.14
ItseaDysre 3yr,IcqFussi 6mo,0.143,0.004,0,56060,FS,34.88
ItseaExter 3yr,IcqFussi 6mo,0.179,0.004,5.73e-269,56080,FS,43.66
ItseaInter 3yr,IcqFussi 6mo,0.095,0.004,0,56061,FS,22.62
ScqRestr 3yr,IcqFussi 6mo,-0.106,0.004,7.92e-55,56250,FS,25.24
ScqSocia 3yr,IcqFussi 6mo,0.053,0.004,0,56289,FS,12.62
SdqProso 3yr,IcqFussi 6mo,-0.141,0.004,0,56293,FS,34.39
AsqLangu 5yr,IcqFussi 6mo,0.069,0.005,0,39422,FS,13.8
AsqMotor 5yr,IcqFussi 6mo,-0.086,0.005,0,39418,FS,17.2
CastFull 5yr,IcqFussi 6mo,0.002,0.008,0,14194,FS,0.24
CbclExter 5yr,IcqFussi 6mo,0.185,0.005,1.24e-112,36458,FS,36.27
CbclInter 5yr,IcqFussi 6mo,0.187,0.005,1.87e-195,36382,FS,36.67
CccCoher 5yr,IcqFussi 6mo,-0.138,0.005,1.18e-104,39586,FS,28.16
CprsrsFull 5yr,IcqFussi 6mo,0.192,0.005,1.33e-148,39540,FS,40
EasActiv 5yr,IcqFussi 6mo,0.026,0.005,6.49e-88,36350,FS,5
EasEmoti 5yr,IcqFussi 6mo,-0.2,0.005,0,36358,FS,40
EasShyne 5yr,IcqFussi 6mo,0.134,0.005,8.89e-58,36344,FS,25.77
EasSocia 5yr,IcqFussi 6mo,0.06,0.005,1.1125369292536e-308,36350,FS,11.54
SlasFull 5yr,IcqFussi 6mo,-0.057,0.01,0,10227,FS,5.76
SprakExpre 5yr,IcqFussi 6mo,0.098,0.005,0,33438,FS,18.15
SprakRecep 5yr,IcqFussi 6mo,0.13,0.005,0,33439,FS,24.07
SprakSeman 5yr,IcqFussi 6mo,0.129,0.005,0,33457,FS,23.89
