"Var1","Var2","r","se","p"
"SdqProsoM_14yr","AsqMotor_6mo","0.018","0.0089","0.00e+00"
"SmfqFullC_14yr","AsqMotor_6mo","-0.009","0.008","0.00e+00"
"SmfqFullM_14yr","AsqMotor_6mo","0.038","0.0086","0.00e+00"
"SpinFullC_14yr","AsqMotor_6mo","0.003","0.0081","0.00e+00"
"SppaSociaC_14yr","AsqMotor_6mo","0.026","0.0069","0.00e+00"
"SwlsFullC_14yr","AsqMotor_6mo","0.008","0.007","0.00e+00"
"YptiFullC_14yr","AsqMotor_6mo","0.017","0.007","0.00e+00"
"AsqLangu_18mo","IcqFussi_6mo","0.022","0.0037","0.00e+00"
"AsqMotor_18mo","IcqFussi_6mo","0.029","0.0037","0.00e+00"
"CbclExter_18mo","IcqFussi_6mo","0.094","0.0037","0.00e+00"
"CbclInter_18mo","IcqFussi_6mo","0.081","0.0037","0.00e+00"
"EasActiv_18mo","IcqFussi_6mo","0.025","0.0037","0.00e+00"
"EasEmoti_18mo","IcqFussi_6mo","0.093","0.0037","0.00e+00"
"EasShyne_18mo","IcqFussi_6mo","0.053","0.0037","0.00e+00"
"EasSocia_18mo","IcqFussi_6mo","0.044","0.0037","0.00e+00"
"AsqLangu_3yr","IcqFussi_6mo","0.021","0.0042","0.00e+00"
"AsqMotor_3yr","IcqFussi_6mo","0.021","0.0042","0.00e+00"
"CbclExter_3yr","IcqFussi_6mo","0.064","0.0044","0.00e+00"
"CbclInter_3yr","IcqFussi_6mo","0.068","0.0044","0.00e+00"
"CfqPress_3yr","IcqFussi_6mo","0.039","0.0042","0.00e+00"
"CfqRestr_3yr","IcqFussi_6mo","0.022","0.0042","0.00e+00"
"EasActiv_3yr","IcqFussi_6mo","0.017","0.0044","0.00e+00"
"EasEmoti_3yr","IcqFussi_6mo","0.057","0.0044","0.00e+00"
"EasShyne_3yr","IcqFussi_6mo","0.039","0.0044","0.00e+00"
"EasSocia_3yr","IcqFussi_6mo","0.026","0.0044","0.00e+00"
"ItseaCompe_3yr","IcqFussi_6mo","0.021","0.0042","0.00e+00"
"ItseaDysre_3yr","IcqFussi_6mo","0.043","0.0042","0.00e+00"
"ItseaExter_3yr","IcqFussi_6mo","0.047","0.0042","0.00e+00"
"ItseaInter_3yr","IcqFussi_6mo","0.021","0.0042","0.00e+00"
"ScqRestr_3yr","IcqFussi_6mo","0.031","0.0042","0.00e+00"
"ScqSocia_3yr","IcqFussi_6mo","0.025","0.0042","0.00e+00"
"SdqProso_3yr","IcqFussi_6mo","0.033","0.0042","0.00e+00"
"AsqLangu_5yr","IcqFussi_6mo","0.025","0.005","0.00e+00"
"AsqMotor_5yr","IcqFussi_6mo","0.02","0.005","0.00e+00"
"CastFull_5yr","IcqFussi_6mo","0.05","0.0084","0.00e+00"
"CbclExter_5yr","IcqFussi_6mo","0.062","0.0052","0.00e+00"
"CbclInter_5yr","IcqFussi_6mo","0.053","0.0052","0.00e+00"
"CccCoher_5yr","IcqFussi_6mo","0.034","0.005","0.00e+00"
"CprsrsFull_5yr","IcqFussi_6mo","0.057","0.005","0.00e+00"
"EasActiv_5yr","IcqFussi_6mo","0.026","0.0052","0.00e+00"
"EasEmoti_5yr","IcqFussi_6mo","0.056","0.0052","0.00e+00"
"EasShyne_5yr","IcqFussi_6mo","0.036","0.0052","0.00e+00"
"EasSocia_5yr","IcqFussi_6mo","0.026","0.0052","3.34e-254"
"SlasFull_5yr","IcqFussi_6mo","0.035","0.0099","0.00e+00"
"SprakExpre_5yr","IcqFussi_6mo","0.012","0.0055","0.00e+00"
"SprakRecep_5yr","IcqFussi_6mo","0.002","0.0055","0.00e+00"
"SprakSeman_5yr","IcqFussi_6mo","0.001","0.0055","0.00e+00"
"CccCoher_8yr","IcqFussi_6mo","0.031","0.0059","0.00e+00"
"CebqFull_8yr","IcqFussi_6mo","0.016","0.0049","0.00e+00"
"NhpicBenev_8yr","IcqFussi_6mo","0.041","0.0049","0.00e+00"
"NhpicConsc_8yr","IcqFussi_6mo","0.028","0.0049","0.00e+00"
"RsdbdAdhd_8yr","IcqFussi_6mo","0.046","0.0049","0.00e+00"
"RsdbdCondu_8yr","IcqFussi_6mo","0.015","0.0049","0.00e+00"
"RsdbdHyper_8yr","IcqFussi_6mo","0.044","0.0049","0.00e+00"
"RsdbdInatt_8yr","IcqFussi_6mo","0.044","0.0049","0.00e+00"
"RsdbdOdd_8yr","IcqFussi_6mo","0.036","0.0049","0.00e+00"
"ScaredFull_8yr","IcqFussi_6mo","0.023","0.0049","0.00e+00"
"ScqRestr_8yr","IcqFussi_6mo","0.03","0.0053","0.00e+00"
"ScqSocia_8yr","IcqFussi_6mo","0.012","0.0053","0.00e+00"
"SmfqFull_8yr","IcqFussi_6mo","0.026","0.0049","0.00e+00"
"SpinFull_8yr","IcqFussi_6mo","0.04","0.005","0.00e+00"
"SprakSeman_8yr","IcqFussi_6mo","0.002","0.0065","0.00e+00"
"CapeFullC_14yr","IcqFussi_6mo","0.007","0.007","1.21e-238"
